sys_id,opened_at,closed_at,category,priority,assignment_group,short_description,description
SR10516,2026-03-22 03:15:00,2026-03-22 08:07:28,Software,3 - Moderate,Software Support,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10517,2026-04-06 22:09:00,2026-04-07 03:46:55,Software,3 - Moderate,Software Support,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10518,2026-02-05 18:24:00,2026-02-06 18:34:05,HR,3 - Moderate,Service Desk,사원증 분실로 인한 재발급 신청,출근 중 사원증을 분실하여 재발급을 요청합니다. 출입 권한 이전도 같이 요청합니다.
SR10519,2026-05-18 22:58:00,2026-05-19 01:45:35,Access,3 - Moderate,Security Team,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10520,2026-03-15 04:11:00,2026-03-16 01:22:58,Hardware,4 - Low,Hardware Support,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10521,2026-01-14 11:00:00,2026-01-14 17:10:03,Software,4 - Low,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10522,2026-04-09 17:32:00,2026-04-09 20:10:28,Access,3 - Moderate,Security Team,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10523,2026-04-17 22:53:00,2026-04-18 00:58:52,Access,3 - Moderate,Service Desk,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10524,2026-01-22 18:01:00,2026-01-22 21:29:12,Access,4 - Low,Service Desk,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10525,2026-03-12 07:34:00,2026-03-12 16:47:41,Hardware,3 - Moderate,Service Desk,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10526,2026-05-25 23:49:00,2026-05-26 05:37:48,Software,3 - Moderate,Software Support,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10527,2026-01-30 08:49:00,2026-01-30 11:08:52,Access,3 - Moderate,Security Team,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10528,2026-01-11 23:28:00,2026-01-13 15:16:20,HR,4 - Low,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10529,2026-01-27 23:53:00,2026-01-28 14:45:03,HR,2 - High,HR Team,사원증 분실로 인한 재발급 신청,출근 중 사원증을 분실하여 재발급을 요청합니다. 출입 권한 이전도 같이 요청합니다.
SR10530,2026-04-26 08:22:00,2026-04-27 00:02:25,Hardware,4 - Low,Service Desk,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10531,2026-03-02 06:51:00,2026-03-02 11:02:12,Network,4 - Low,Service Desk,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10532,2026-04-20 05:39:00,2026-04-21 02:11:25,HR,3 - Moderate,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10533,2026-01-16 18:22:00,2026-01-16 22:32:54,Hardware,1 - Critical,Hardware Support,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10534,2026-05-18 05:20:00,2026-05-20 00:37:10,HR,4 - Low,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10535,2026-03-10 16:57:00,2026-03-10 22:11:32,Software,3 - Moderate,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10536,2026-01-16 08:55:00,2026-01-16 11:32:29,Network,2 - High,Network Support,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10537,2026-02-07 22:20:00,2026-02-08 11:22:12,Hardware,3 - Moderate,Hardware Support,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10538,2026-02-06 18:40:00,2026-02-07 02:55:59,Hardware,3 - Moderate,Service Desk,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10539,2026-04-26 02:40:00,2026-04-26 06:29:46,Software,3 - Moderate,Service Desk,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10540,2026-03-13 22:59:00,2026-03-14 02:38:54,Network,3 - Moderate,Service Desk,방화벽 포트 오픈 신청,신규 개발 시스템 구축을 위해 개발망과 운영망 간의 특정 포트 오픈이 필요합니다.
SR10541,2026-03-25 18:00:00,2026-03-25 22:33:24,Software,3 - Moderate,Service Desk,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10542,2026-01-17 17:25:00,2026-01-17 18:06:46,Network,1 - Critical,Service Desk,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10543,2026-05-07 08:20:00,2026-05-07 16:41:40,Hardware,3 - Moderate,Service Desk,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10544,2026-05-28 04:36:00,2026-05-28 10:19:16,Software,3 - Moderate,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10545,2026-01-12 03:40:00,2026-01-12 06:21:36,Access,4 - Low,Service Desk,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10546,2026-02-10 14:29:00,2026-02-10 17:35:38,Access,3 - Moderate,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10547,2026-02-03 20:19:00,2026-02-03 21:19:21,Network,2 - High,Service Desk,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10548,2026-04-03 08:05:00,2026-04-03 22:00:25,Hardware,3 - Moderate,Service Desk,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10549,2026-04-12 20:19:00,2026-04-13 03:47:00,Software,3 - Moderate,Software Support,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10550,2026-01-25 00:13:00,2026-01-25 08:14:21,Hardware,3 - Moderate,Service Desk,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10551,2026-02-27 16:43:00,2026-02-27 19:51:04,Access,3 - Moderate,Security Team,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10552,2026-03-29 03:55:00,2026-03-29 04:37:36,Access,1 - Critical,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10553,2026-01-19 07:24:00,2026-01-19 08:22:49,Access,2 - High,Security Team,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10554,2026-03-22 11:56:00,2026-03-22 16:14:52,Network,3 - Moderate,Network Support,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10555,2026-02-04 20:43:00,2026-02-05 02:55:31,Software,3 - Moderate,Software Support,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10556,2026-05-25 00:39:00,2026-05-25 10:39:16,Hardware,2 - High,Hardware Support,PC 메모리 추가 장착 요청,최근 코딩 작업 시 메모리 부족으로 인해 PC 속도가 급격히 느려집니다. 기존 8GB에서 16GB로 업그레이드 요청합니다.
SR10557,2026-02-24 20:47:00,2026-02-25 04:56:45,Hardware,3 - Moderate,Service Desk,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10558,2026-04-24 06:05:00,2026-04-24 13:26:36,Hardware,1 - Critical,Service Desk,PC 메모리 추가 장착 요청,최근 코딩 작업 시 메모리 부족으로 인해 PC 속도가 급격히 느려집니다. 기존 8GB에서 16GB로 업그레이드 요청합니다.
SR10559,2026-05-31 23:24:00,2026-06-01 05:19:54,Network,4 - Low,Network Support,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10560,2026-02-05 07:17:00,2026-02-05 11:43:58,Software,3 - Moderate,Service Desk,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10561,2026-03-14 22:01:00,2026-03-15 08:13:33,Network,4 - Low,Network Support,방화벽 포트 오픈 신청,신규 개발 시스템 구축을 위해 개발망과 운영망 간의 특정 포트 오픈이 필요합니다.
SR10562,2026-05-11 06:47:00,2026-05-11 10:29:11,Software,2 - High,Software Support,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10563,2026-03-03 15:24:00,2026-03-03 18:53:26,Access,4 - Low,Service Desk,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10564,2026-01-19 16:56:00,2026-01-19 21:58:26,Network,3 - Moderate,Network Support,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10565,2026-02-03 12:55:00,2026-02-03 17:25:34,Network,3 - Moderate,Service Desk,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10566,2026-05-20 21:11:00,2026-05-21 03:04:10,HR,2 - High,Service Desk,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10567,2026-05-31 02:00:00,2026-05-31 04:54:48,Access,3 - Moderate,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10568,2026-01-16 12:32:00,2026-01-16 22:47:47,Software,3 - Moderate,Software Support,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10569,2026-04-13 02:40:00,2026-04-13 06:26:13,Software,3 - Moderate,Service Desk,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10570,2026-01-22 09:05:00,2026-01-23 09:49:23,HR,3 - Moderate,HR Team,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10571,2026-05-18 10:25:00,2026-05-19 17:14:53,HR,3 - Moderate,HR Team,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10572,2026-04-22 23:54:00,2026-04-23 18:13:39,HR,2 - High,HR Team,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10573,2026-01-23 13:07:00,2026-01-24 03:19:02,Hardware,3 - Moderate,Hardware Support,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10574,2026-02-14 03:00:00,2026-02-14 05:23:34,Access,3 - Moderate,Security Team,신규 입사자 시스템 권한 일괄 신청,"다음 주 입사 예정인 신입 사원의 메일, 메신저, 사내 시스템 접근 권한 일괄 생성을 요청합니다."
SR10575,2026-05-08 11:33:00,2026-05-09 00:19:37,Hardware,3 - Moderate,Hardware Support,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10576,2026-04-06 04:47:00,2026-04-07 03:57:38,HR,4 - Low,Service Desk,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10577,2026-03-27 13:17:00,2026-03-27 22:38:41,Software,3 - Moderate,Software Support,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10578,2026-05-28 20:04:00,2026-05-29 18:59:16,HR,3 - Moderate,HR Team,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10579,2026-04-03 01:31:00,2026-04-03 02:56:41,Access,3 - Moderate,Service Desk,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10580,2026-02-10 08:49:00,2026-02-12 05:56:05,HR,4 - Low,HR Team,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10581,2026-05-11 00:02:00,2026-05-11 03:16:17,Network,3 - Moderate,Network Support,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10582,2026-05-01 11:24:00,2026-05-01 15:25:58,Network,3 - Moderate,Network Support,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10583,2026-05-22 22:47:00,2026-05-23 19:08:57,Hardware,4 - Low,Hardware Support,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10584,2026-03-05 13:58:00,2026-03-05 15:39:10,Access,2 - High,Security Team,신규 입사자 시스템 권한 일괄 신청,"다음 주 입사 예정인 신입 사원의 메일, 메신저, 사내 시스템 접근 권한 일괄 생성을 요청합니다."
SR10585,2026-05-27 11:07:00,2026-05-27 15:50:08,Software,3 - Moderate,Service Desk,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10586,2026-02-27 16:02:00,2026-02-28 20:16:08,HR,3 - Moderate,HR Team,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10587,2026-03-14 09:20:00,2026-03-14 12:03:07,Access,3 - Moderate,Security Team,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10588,2026-04-05 06:18:00,2026-04-05 08:18:19,Network,3 - Moderate,Service Desk,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10589,2026-03-04 14:23:00,2026-03-05 16:50:14,HR,3 - Moderate,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10590,2026-05-20 07:09:00,2026-05-21 14:51:22,HR,4 - Low,Service Desk,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10591,2026-03-01 17:22:00,2026-03-01 19:19:43,Network,3 - Moderate,Service Desk,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10592,2026-04-07 23:46:00,2026-04-08 01:34:47,Network,3 - Moderate,Service Desk,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10593,2026-05-16 07:26:00,2026-05-16 10:07:01,Software,2 - High,Software Support,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10594,2026-03-13 02:02:00,2026-03-13 02:46:34,Access,2 - High,Security Team,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10595,2026-04-28 23:05:00,2026-04-29 13:56:27,Hardware,4 - Low,Service Desk,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10596,2026-02-04 20:52:00,2026-02-06 13:20:37,HR,3 - Moderate,HR Team,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10597,2026-05-26 01:27:00,2026-05-26 03:25:56,Access,3 - Moderate,Security Team,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10598,2026-03-08 10:59:00,2026-03-08 19:42:29,Hardware,2 - High,Hardware Support,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10599,2026-04-26 08:14:00,2026-04-26 10:47:24,Access,3 - Moderate,Service Desk,신규 입사자 시스템 권한 일괄 신청,"다음 주 입사 예정인 신입 사원의 메일, 메신저, 사내 시스템 접근 권한 일괄 생성을 요청합니다."
SR10600,2026-05-30 03:09:00,2026-05-30 09:05:02,Network,4 - Low,Network Support,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10601,2026-04-30 10:26:00,2026-04-30 18:24:45,Network,4 - Low,Network Support,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10602,2026-04-26 09:29:00,2026-04-26 11:53:11,Network,3 - Moderate,Service Desk,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10603,2026-02-10 21:19:00,2026-02-11 00:32:41,Software,2 - High,Software Support,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10604,2026-03-25 04:05:00,2026-03-26 08:24:43,HR,3 - Moderate,HR Team,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10605,2026-05-12 01:43:00,2026-05-12 14:15:13,Hardware,4 - Low,Service Desk,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10606,2026-01-08 12:54:00,2026-01-08 16:18:57,Software,3 - Moderate,Service Desk,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10607,2026-04-29 03:51:00,2026-04-29 05:24:49,Access,2 - High,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10608,2026-01-16 07:08:00,2026-01-17 04:59:02,Hardware,4 - Low,Hardware Support,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10609,2026-01-22 18:37:00,2026-01-23 09:49:52,Hardware,4 - Low,Service Desk,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10610,2026-01-17 06:57:00,2026-01-17 12:28:17,Software,3 - Moderate,Software Support,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10611,2026-03-26 03:02:00,2026-03-26 07:17:56,Access,3 - Moderate,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10612,2026-05-27 13:52:00,2026-05-27 15:03:38,Access,2 - High,Security Team,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10613,2026-04-08 21:27:00,2026-04-08 23:46:52,Access,3 - Moderate,Service Desk,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10614,2026-02-17 08:17:00,2026-02-17 23:10:52,Hardware,4 - Low,Service Desk,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10615,2026-03-04 20:18:00,2026-03-04 23:09:58,Access,3 - Moderate,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10616,2026-05-03 01:05:00,2026-05-03 03:38:50,Access,4 - Low,Service Desk,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10617,2026-04-18 06:41:00,2026-04-18 11:46:58,Software,4 - Low,Service Desk,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10618,2026-01-05 12:50:00,2026-01-07 20:50:55,HR,4 - Low,HR Team,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10619,2026-05-05 11:58:00,2026-05-05 18:34:11,Software,3 - Moderate,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10620,2026-03-11 05:01:00,2026-03-12 09:17:16,HR,4 - Low,Service Desk,사원증 분실로 인한 재발급 신청,출근 중 사원증을 분실하여 재발급을 요청합니다. 출입 권한 이전도 같이 요청합니다.
SR10621,2026-03-13 01:51:00,2026-03-13 13:08:42,Software,4 - Low,Software Support,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10622,2026-03-01 05:06:00,2026-03-01 06:22:37,Access,3 - Moderate,Service Desk,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10623,2026-05-17 23:03:00,2026-05-18 14:39:11,Hardware,3 - Moderate,Hardware Support,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10624,2026-02-14 05:15:00,2026-02-14 13:27:39,Hardware,3 - Moderate,Service Desk,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10625,2026-01-08 22:44:00,2026-01-09 19:00:04,HR,3 - Moderate,Service Desk,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10626,2026-02-18 15:34:00,2026-02-19 03:16:16,Software,4 - Low,Software Support,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10627,2026-01-10 02:03:00,2026-01-10 07:37:41,Software,3 - Moderate,Software Support,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10628,2026-05-15 15:00:00,2026-05-16 06:24:57,Hardware,3 - Moderate,Hardware Support,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
